smiles,vina_score
OC(=O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.7
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,-9.1
Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.6
OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-7.5
CN(C)CCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.3
CN(C)CCCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.8
Brc1cccc(Nc2ncnc3cc4n(CCN5CCOCC5)ccc4cc23)c1,-7.2
Brc1cccc(Nc2ncnc3cc4n(CCCN5CCOCC5)ccc4cc23)c1,-8.8
OC(=O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-5.6
OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-7.4
CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-7.7
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,-5.4
CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-6.8
COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-6.2
CN(CC(O)=O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-7.6
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.7
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.9
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.5
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.4
CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.0
OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.5
CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.3
OCC(CO)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.4
OCCN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-6.6
OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-6.7
CN(CC(O)C(O)C(O)C(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.3
CN(C)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.3
CN(C)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-6.7
CN(C)CCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-6.9
CN(C)CCCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.4
CN(C)CCN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.4
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,-7.2
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,-6.6
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,-7.6
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,-6.6
CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,-6.7
OCCN(CCO)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-6.3
OCCN(CCO)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.9
NNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.3
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,-7.2
Brc1cccc(Nc2ncnc3cc(NCCc4cnc[nH]4)ncc23)c1,-7.7
OC(=O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.5
OC(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.4
OC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.7
CN(CC(O)=O)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.6
OS(=O)(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-8.0
CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,-7.2
CN(C)CCCCNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,-7.8
Cc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,-7.1
CN1CCN(CCCNc2cc3ncnc(Nc4cccc(C)c4)c3cn2)CC1,-7.5
Cc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,-8.0
Cc1cccc(Nc2ncnc3cc(NCCc4cnc[nH]4)ncc23)c1,-7.6
Clc1ncc2ncnc(Nc3ccccc3)c2n1,-7.4
CNc1ncc2ncnc(Nc3ccccc3)c2n1,-7.5
Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,-7.2
Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,-7.0
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,-7.5
CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,-7.3
COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,-6.0
CN(C)CCNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,-7.7
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,-6.6
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,-7.4
Brc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)nc23)c1,-6.7
